smiles,pKa,pKaAcidic_train_test,scaffold
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,2.73,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488ec70>
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,2.73,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488ece0>
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,2.73,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488ed50>
NCCCC[C@H](N)C(=O)O,2.74,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488edc0>
CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,2.74,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488ee30>
C[C@@H]1C[C@H](C)CN(S(=O)(=O)c2ccc(Cl)c(C(=O)O)c2)C1,2.74,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488eea0>
CCOC(=O)CSCCC1NC(C(=O)O)CS1,2.74,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488ef10>
NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,2.75,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488ef80>
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,2.75,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f060>
O=C(O)C1=Cc2cc(OC(F)(F)F)ccc2OC1C(F)(F)F,2.75,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f0d0>
NC(CO)(CO)CO.O=C(O)C1=Cc2cc(OC(F)(F)F)ccc2OC1C(F)(F)F,2.75,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f1b0>
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1N=C(C(C)(C)C)S[C@H]1C(=O)O,2.76,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f220>
O=C(O)CNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,2.77,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f290>
CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O)cc1,2.77,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f300>
O=C(O)C(O)C(O)C(=O)Oc1cccnc1,2.77,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f370>
CSCC[C@H](N)C(=O)N[C@@]1(C(=O)O)CS(=O)(=O)[C@H]2[C@H](C(=O)O)[C@H]21,2.77,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f450>
O=C(O)CC[C@H](NP(=O)(O)OCCC[C@H](NC(=O)CC[C@H](NC(=O)CCCCCNC(=O)c1ccc(F)cc1)C(=O)O)C(=O)O)C(=O)O,2.77,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f4c0>
CC(C)Cc1ccc(-c2nc(-c3ccc(CN4CC(C(=O)O)C4)c(F)c3)no2)cc1,2.77,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f530>
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccc(N)n3CCO)CS[C@H]12)c1csc(N)n1,2.78,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f610>
O=C(O)c1ccccc1O,2.79,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f680>
CC(C)C[C@H](N)C(=O)O,2.79,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f760>
CC[C@H](C)[C@H](N)C(=O)O,2.79,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f7d0>
CCCC[C@H](N)C(=O)O,2.79,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f840>
O=C(O)c1cc(Cl)c2c(c1O)CCC2,2.79,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f8b0>
CCCCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C(\C#N)CCCC(=O)O)O[C@H]2C[C@H]1O,2.79,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488f990>
COc1ccc(-c2cc(=O)c3c(OC)cc(OCC(=O)O)cc3o2)cc1OC,2.79,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488fa00>
Cc1c(Cn2c(C)nc3c(C(=O)O)cc(N4CCOCC4)cc32)cccc1C(F)(F)F,2.79,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488fa70>
Cc1cccc(C(=O)O)c1O,2.8,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488fc30>
CC(C)(C)c1cc(C(C)(C)C)c2oc(C(=O)O)cc(=O)c2c1,2.8,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488fca0>
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C([C@@H]3CCCO3)CS[C@H]12)c1csc(N)n1,2.8,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488fdf0>
Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,2.81,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488fe60>
O=C(O)/C=C/c1nc(CSc2c(Cl)cccc2Cl)ccc1OCCc1ccccc1,2.81,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf488ff40>
CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21,2.81,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890040>
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,2.82,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48900b0>
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,2.82,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890120>
CC(C)(O/N=C(\C(=O)NC1CN(C(=O)NS(=O)(=O)N2CCN(NC(=O)c3cc(=O)c(O)c[nH]3)C2=O)C1=O)c1csc(N)n1)C(=O)O,2.82,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890190>
O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,2.83,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890200>
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,2.83,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890270>
Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,2.84,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890430>
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C/c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])CS[C@H]12,2.84,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48904a0>
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,2.85,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890510>
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,2.85,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890580>
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C/Sc3n[nH]c(=O)c(=O)n3CC=O)CS[C@H]12)c1csc(N)n1,2.85,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48905f0>
Cn1c(=O)oc2cc(-n3cc(C(=O)O)c(=O)n([C@@H]4CCc5c4cccc5C(F)(F)F)c3=O)ccc21,2.85,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890660>
C[C@@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,2.86,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48906d0>
C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O,2.86,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890740>
O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccccc1,2.87,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48907b0>
O=C(O)C1N=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2NC1=O,2.87,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890820>
O=C(Nc1nnn[nH]1)c1cc(Oc2ccccc2)c2ccccn2c1=O,2.88,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890900>
O=C(O)c1cc(-c2ccc([N+](=O)[O-])o2)c2ccccc2[n+]1[O-],2.88,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890970>
C[C@H]1C=C(c2csc(SC3=C(C(=O)O)N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)n2)CN1,2.88,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48909e0>
CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,2.89,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890a50>
NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cc4cccs4)[C@H]3SC2)cc1,2.89,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890ac0>
O=C(NCO)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,2.89,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890b30>
CN1CCN=C1c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)c(F)c(N(C)CC(=O)O)c2F)c1,2.9,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890c10>
CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,2.9,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890c80>
CN(C)c1nc(Cc2ccc(NC(=O)c3ccc(C(F)(F)F)cc3)cc2)nc(N(C)C)c1CC(=O)O,2.9,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890cf0>
O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2.91,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890dd0>
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O,2.91,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890eb0>
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1,2.92,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890f20>
CO/N=C(\C(=O)N[C@@H]1C(=O)N(OCC(=O)O)[C@H]1C)c1csc(N)n1,2.92,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4890f90>
O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,2.93,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891000>
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,2.93,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48910e0>
O=C([O-])c1cc(/N=N/c2ccc(O)c(C(=O)[O-])c2)ccc1O,2.93,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891150>
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,2.94,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48911c0>
CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1,2.94,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891230>
CN(C(=O)CCCC(=O)O)c1c(I)cc(I)c(N)c1I,2.95,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48912a0>
CC(=O)N[C@@H]([C@@H](O)[C@H](O)[C@H](O)CO)[C@@H](O)CC(=O)C(=O)O,2.95,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891380>
COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,2.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48913f0>
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,2.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891460>
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,2.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48914d0>
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1,2.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48915b0>
O=C(O)C1(Sc2ccnc3ccc(Br)cc23)CCC1,2.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891700>
Cc1cc(=O)oc2cc(O)c(OCC(=O)O)cc12,2.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48918c0>
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,2.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891930>
CC(C)(C(=O)O)c1cn2nc(NCCCN3CCC(OC(c4ccccc4)c4ccccc4)CC3)ccc2n1,2.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48919a0>
CN(C)CC(=O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,2.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891a10>
CC1(C)S[C@@H]2[C@H](NC(=O)c3nc4ccccc4nc3C(=O)O)C(=O)N2[C@H]1C(=O)O,2.99,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891a80>
O=C(O)CN1CCN(CC(=O)O)CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1,2.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891af0>
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1ccco1,2.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891b60>
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc([C@@](C)(NCC(=O)O)C(=O)N3CCCC3)ccc21,2.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891bd0>
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc([18F])nc1)C(=O)O)C(=O)O,2.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891c40>
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(F)nc1)C(=O)O)C(=O)O,2.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891cb0>
CC(=O)N[C@H]1[C@H]([C@@H](O)[C@@H](O)CO)O[C@@](O)(C(=O)O)C[C@@H]1O,3.0,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891d20>
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)[C@H]3SC2)s1,3.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891d90>
COc1ccc2c3c1O[C@H]1/C(=N/OCC(=O)O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,3.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891e00>
Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,3.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891e70>
NCCCC[C@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O,3.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891ee0>
CC(=O)N[C@@H](CC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,3.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891f50>
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,3.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4891fc0>
CC1=CC(=O)NS(=O)(=O)O1,3.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892030>
Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)O)cc2)cc1,3.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48920a0>
CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,3.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892110>
CC1=CC(=O)[N-]S(=O)(=O)O1,3.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892180>
Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)[O-])cc2)cc1,3.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48921f0>
O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,3.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892260>
CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,3.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48922d0>
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,3.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892340>
O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccnc3)cc21,3.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48923b0>
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)[O-])S2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,3.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892420>
CC(=O)N[C@@H](CSC(=O)c1ccccc1OC(C)=O)C(=O)O,3.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892490>
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc(I)cc1)C(=O)O)C(=O)O,3.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892500>
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc([123I])cc1)C(=O)O)C(=O)O,3.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892570>
COc1ccc(CCOC(c2ccccc2)(c2ccccc2)[C@H](Oc2nc(C)cc(C)n2)C(=O)O)cc1OC,3.04,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48925e0>
CC1(C)OC[C@@H]2O[C@@]3(C(=O)O)OC(C)(C)O[C@H]3[C@@H]2O1,3.05,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892650>
O=C(O)CC(O)(CC(=O)O)C(=O)O,3.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48926c0>
CC(C)(C)c1ccc(CN(Cc2cccc(OCC(=O)O)c2)S(=O)(=O)c2cccnc2)cc1,3.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892730>
C#CCN(c1ccc(C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)cc1)[C@H]1CCc2cc3nc(CO)[nH]c(=O)c3cc21,3.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48927a0>
CC1(c2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,3.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892880>
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,3.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48928f0>
CCCCCCCCCCCCCCCCCC(O)c1ccc(C(=O)O)c(Cl)c1,3.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892960>
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1cccnc1,3.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48929d0>
O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1,3.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892a40>
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,3.07,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892ab0>
O=C(NN1CCCC1)NS(=O)(=O)c1ccc(Cl)cc1,3.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892b20>
COc1cccc(-c2ccc(NC(=O)C3=C(C(=O)O)CCC3)c(F)c2)c1,3.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892b90>
O=C(O)COc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)c1,3.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892c00>
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,3.08,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892c70>
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,3.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892ce0>
CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,3.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892d50>
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,3.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892dc0>
COC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,3.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892e30>
O=C(O)CN1C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(=O)O)CCc2ccccc21,3.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892ea0>
CO[C@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)CO[C@@H]21,3.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892f10>
CC1(C)C(C(=O)O)N2C(=O)CC2S1(=O)=O,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4892ff0>
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893060>
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48930d0>
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)c3c(-c4ccccc4Cl)noc3C)[C@H]2SC1,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893140>
O=C(NN1CCCCCC1)NS(=O)(=O)c1ccc(Cl)cc1,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48931b0>
CC1(C)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893220>
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O.CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O.c1ccc(CNCCNCc2ccccc2)cc1,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893290>
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(I)cc1)C(=O)O)C(=O)O,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893300>
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)[O-])c3ccsc3)C(=O)N2[C@H]1C(=O)[O-],3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893370>
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc([123I])cc1)C(=O)O)C(=O)O,3.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48933e0>
CC(SC1(C)OC(=O)c2ccccc2O1)C(=O)NCC(=O)O,3.1,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893450>
O=C([O-])c1cc2cc(Cc3cccnc3)ccc2o1,3.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893530>
COc1ccccc1C(C(=O)O)=C(c1ccccc1)c1ccccc1,3.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893610>
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,3.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48936f0>
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)[O-].C[N+](C)(C)CCO,3.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893760>
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,3.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48937d0>
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]21,3.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893840>
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,3.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48938b0>
O=C([O-])CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,3.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893920>
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,3.11,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893990>
CC(C)c1cccc(C(C)C)c1NC(=O)CN(CC(=O)O)CC(=O)O,3.11,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893a70>
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],3.11,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4893ae0>
