smiles,LogD,scaffold
Cc1cnc(NS(=O)(=O)c2ccccc2)c(C)n1,-0.03,<rdkit.Chem.rdchem.Mol object at 0x7f06b42333e0>
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,-0.65,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233450>
COc1ccc(S(=O)(=O)Nc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1OC,2.56,<rdkit.Chem.rdchem.Mol object at 0x7f06b42334c0>
Cc1ccc(S(=O)(=O)Nc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1,2.82,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233530>
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c5c(sc34)CCCC5)cccc12,4.1,<rdkit.Chem.rdchem.Mol object at 0x7f06b42335a0>
O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1ccc(=O)[nH]c1,3.04,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233680>
CCCSc1nc(N[C@H]2CC[C@H](C(=O)O)CC2)ccc1C(=O)NC1CCCCC1,2.02,<rdkit.Chem.rdchem.Mol object at 0x7f06b42336f0>
Cc1cc(C)c2c(N)c(C(=O)NC3CC3)sc2n1,2.53,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233760>
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,1.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b42337d0>
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,2.72,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233840>
Cc1nc(C)c(-c2ccc3c(c2)CC[C@]32CC[C@@H](Cc3nnn[nH]3)CC2)nc1C(N)=O,2.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b42338b0>
COCc1ccoc1C(=O)N(c1ccc(OC)cc1OC)C(C(=O)NC[C@@H](C)O)c1ccccc1F,1.98,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233920>
COc1ccc(N(C(=O)c2occc2CO)C(C(=O)NC[C@@H](C)O)c2ccccc2F)c(OC)c1,1.37,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233990>
COc1ccc(N(C(=O)c2occc2C)C(C(=O)NC[C@@H](C)O)c2ccccc2F)c(OC)c1,2.04,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233a00>
COc1ccc(N(C(=O)c2occc2Cl)C(C(=O)NC[C@@H](C)O)c2ccccc2F)c(OC)c1,2.18,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233a70>
O=C(O)c1ccc(-c2ccc(Cl)c(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2)cc1,2.48,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233ae0>
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,1.1,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233b50>
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,-0.41,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233bc0>
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-0.09,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233c30>
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,-1.29,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233d10>
CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1,3.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233d80>
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,3.4,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233df0>
CCCSc1nc2ccc(NC(=O)CCC(=O)O)cc2s1,0.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233e60>
NCCc1ccc(O)c2nc(O)sc12,0.33,<rdkit.Chem.rdchem.Mol object at 0x7f06b4233f40>
Nc1nc2ccc(OC(F)(F)F)cc2s1,3.34,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234040>
Nc1nc2ccc(F)cc2s1,2.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234120>
Cc1nc2ccc(NC(=O)CCNC(N)=O)cc2s1,0.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234200>
CCCSc1nc2ccc(NC(=O)CCNC(N)=O)cc2s1,2.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234270>
COc1cc(OC)cc(-c2cc3cnc(N)nc3nc2N)c1,2.14,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234350>
Nc1ncc2cc(-c3c(Br)cccc3Br)c(N)nc2n1,2.06,<rdkit.Chem.rdchem.Mol object at 0x7f06b42343c0>
CC[C@H](NC(=O)c1c([S+]([O-])C(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,3.81,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234430>
CC[C@H](NC(=O)c1c(CC[S+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1,3.15,<rdkit.Chem.rdchem.Mol object at 0x7f06b42344a0>
CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2cccc(F)c2)nc2ccccc12)c1ccccc1,3.14,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234510>
CC[C@H](NC(=O)c1c(N)c(-c2cccc(F)c2)nc2ccccc12)c1ccccc1,4.05,<rdkit.Chem.rdchem.Mol object at 0x7f06b42345f0>
CC[C@H](NC(=O)c1c(N)c(-c2ccccc2)nc2ccccc12)c1ccccc1,3.89,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234660>
CC[C@H](NC(=O)c1c(CS(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,3.25,<rdkit.Chem.rdchem.Mol object at 0x7f06b42346d0>
CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccc(F)cc2)nc2ccccc12)c1ccccc1,3.72,<rdkit.Chem.rdchem.Mol object at 0x7f06b42347b0>
CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,3.91,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234820>
CC[C@H](NC(=O)c1c(CN(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,4.18,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234890>
CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccccc2)nc2cc(F)ccc12)c1ccccc1,3.62,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234900>
CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccccc2)nc2ccccc12)c1ccccc1,3.17,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234970>
CC[C@H](NC(=O)c1c(S(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,3.17,<rdkit.Chem.rdchem.Mol object at 0x7f06b42349e0>
CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccccc2)nc2cc(CN(C)C)ccc12)c1ccccc1,2.75,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234a50>
CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccccc2)nc2c(F)cccc12)c1ccccc1,2.84,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234ac0>
CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccccc2)nc2cc(Br)ccc12)c1ccccc1,3.18,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234b30>
COc1ccc(Cl)cc1C(=O)Nc1nc2ccccc2[nH]1,4.05,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234c80>
COc1ccccc1C(=O)Nc1nc2ccccc2[nH]1,2.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234cf0>
O=C(Nc1nc2ccccc2n1CCCO)c1cccc([N+](=O)[O-])c1,3.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234d60>
CC1(C)C(=O)N(c2ccc(SC(F)(F)F)cc2)C(=O)N1Cc1ccnc(N2CCOCC2)c1,3.73,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234dd0>
O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1,2.49,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234e40>
O=C(Cc1ccccc1)c1ccc(O)cc1O,3.09,<rdkit.Chem.rdchem.Mol object at 0x7f06b4234f20>
CC(O)(C(=O)c1ccccc1)c1ccccc1,2.92,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235000>
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)NCc2ccc[n+]([O-])c2)c1=O)C(=O)C(F)(F)F,1.48,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235070>
CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,-0.94,<rdkit.Chem.rdchem.Mol object at 0x7f06b42350e0>
O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,1.26,<rdkit.Chem.rdchem.Mol object at 0x7f06b42351c0>
O=c1ccnc2ccccn12,0.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235230>
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.23,<rdkit.Chem.rdchem.Mol object at 0x7f06b42352a0>
Cc1ccc(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,3.01,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235310>
Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1,3.19,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235380>
Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,2.83,<rdkit.Chem.rdchem.Mol object at 0x7f06b42353f0>
Cc1ccc(-c2ncc(C)n2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,2.67,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235460>
CSCCC(NC(=O)c1sccc1Cl)c1nc2ccccc2[nH]1,3.69,<rdkit.Chem.rdchem.Mol object at 0x7f06b42354d0>
O=C(CSc1nccn(-c2ccc(F)c(F)c2)c1=O)NC1CCCC1,2.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235540>
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,3.47,<rdkit.Chem.rdchem.Mol object at 0x7f06b42355b0>
COc1ccccc1CNc1cc(C)ccn1,3.28,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235770>
Cc1ccnc(NCc2ccc(Cl)cc2)c1,3.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b42357e0>
Cc1ccnc(NCc2ccccc2O)c1,3.35,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235850>
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,2.22,<rdkit.Chem.rdchem.Mol object at 0x7f06b42358c0>
CN(C)CCN(Cc1ccccc1)c1ccccn1,1.28,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235930>
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,1.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b42359a0>
CN(C)CCCNC(=O)c1nc(Cl)c(N)nc1N,-1.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235a10>
COc1cccc([C@@H](C)NCCCc2ccccc2Cl)c1,3.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235a80>
O=c1c(-c2ccc3c(c2)OCO3)coc2cc(O)cc(O)c12,3.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235af0>
O=c1cc(N2CCOCC2)nc2n(Cc3cccc4ccccc34)ccn12,3.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235b60>
Cc1cc2n[nH]c(=O)n2c2cc(-c3ccccc3CO)ccc12,3.18,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235bd0>
Cc1cc2n[nH]c(=O)n2c2cc(-c3cccc(CO)c3)ccc12,3.36,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235c40>
Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,2.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235d20>
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,3.24,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235d90>
O=C(Cc1c(C(=O)O)[nH]c2ccccc12)Nc1cccc(C(F)(F)F)c1,1.33,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235e70>
O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(NCC2CCNCC2)c1Cl,0.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235ee0>
O=C(N[C@@H](Cc1ccc(CCCCNc2ccccn2)cc1)C(=O)O)c1c(Cl)cccc1Cl,0.51,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235f50>
O=C1c2ccccc2CN1C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4.1,<rdkit.Chem.rdchem.Mol object at 0x7f06b4235fc0>
NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC12,0.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236030>
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1C(=O)Nc1cccnc1,3.01,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236110>
COc1cncc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)c1,3.04,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236180>
Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1,2.81,<rdkit.Chem.rdchem.Mol object at 0x7f06b42361f0>
Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl,3.26,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236260>
Cc1ccc(NC(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1C(=O)Nc1cccnc1,2.83,<rdkit.Chem.rdchem.Mol object at 0x7f06b42362d0>
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,2.04,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236340>
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.45,<rdkit.Chem.rdchem.Mol object at 0x7f06b42363b0>
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1.16,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236420>
c1ccc2[nH]c(-c3cscn3)nc2c1,2.35,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236490>
O=S(=O)(Nc1cccnc1)c1cccs1,0.54,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236500>
CCc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,0.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236570>
CSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,1.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b42365e0>
CC(C)c1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,1.15,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236730>
CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)cc2)CC1,3.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b42367a0>
NS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1,2.97,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236810>
Clc1ccc2c(c1Nc1ccnc(Nc3ccccc3)n1)OCO2,3.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236880>
CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4c3OCO4)n2)c1,2.83,<rdkit.Chem.rdchem.Mol object at 0x7f06b42368f0>
CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1,3.13,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236960>
CS(=O)(=O)Nc1cc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)cc(C(N)=O)c1,2.28,<rdkit.Chem.rdchem.Mol object at 0x7f06b42369d0>
CS(=O)(=O)c1cccc(Nc2nccc(N(CC#N)c3c(Cl)ccc4c3OCO4)n2)c1,3.16,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236a40>
COc1cc(-c2ccc(Nc3ccccc3C(=O)O)c(OC)c2)ccc1Nc1ccccc1C(=O)O,1.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236b20>
CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12,2.61,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236b90>
Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(OCC(C)(C)CN(C)C)n1,2.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236c00>
Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(OCCCN(C)C)n1,1.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236c70>
CCN(CC)C(=O)c1ccc(C(c2cccc3cccnc23)N2CCNCC2)cc1,0.7,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236d50>
O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSCCCOCCc3ccccc3)c2s1,2.54,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236e30>
NC(=O)C1CCN(CC(=O)Nc2ccc3c(c2)OCO3)CC1,0.4,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236ea0>
Cc1cc2c(C)cc(=O)oc2c2c1NCCC2,2.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236f80>
CCOC(=O)C1=C(C)NC(C)=C(C(C)=O)[C@H]1c1cccc2c(=O)cc(C)oc12,2.63,<rdkit.Chem.rdchem.Mol object at 0x7f06b4236ff0>
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-0.49,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237060>
Cc1cc(Nc2ccnc(NCc3cc(C4CC4)no3)n2)n[nH]1,2.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b42370d0>
O=C(NCCNC(=O)c1cn(-c2ccccc2)nc1C(F)(F)F)c1ccc(Cl)cn1,3.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237140>
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,1.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b42371b0>
Oc1ccc(-c2nc3cc(O)ccc3o2)cc1,3.4,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237220>
N#Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,3.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237300>
Oc1ccc(-c2nc3ccc(O)cc3o2)cc1,3.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237370>
Cc1csc(NC(=O)c2cc(Sc3nncn3C)ccc2N)n1,2.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b42373e0>
c1ccc(-c2[nH]nc3ccccc23)cc1,3.79,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237450>
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCCC3)c(Cc3ccccc3C(F)(F)F)sc21,4.14,<rdkit.Chem.rdchem.Mol object at 0x7f06b42374c0>
Cc1cc(N)n(-c2ccccc2)n1,1.25,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237530>
Cc1cc(C)n(-c2cccc(Cl)c2C#N)n1,3.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237610>
CCC(c1nc2ccoc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1,1.37,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237680>
N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CC=CCC1,0.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237760>
c1ccc(Nc2ncnc3ccccc23)cc1,2.94,<rdkit.Chem.rdchem.Mol object at 0x7f06b42377d0>
Cc1cccc(Nc2ncnc3ccccc23)c1,3.21,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237840>
COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,2.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b42378b0>
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN(C)C,2.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237990>
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(C)C,3.26,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237a00>
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,3.67,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237a70>
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237ae0>
COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OC,3.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237b50>
Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,2.64,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237bc0>
Cc1ccccc1Nc1ncnc2ccccc12,2.85,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237c30>
Clc1cccc(Nc2ncnc3ccccc23)c1,3.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237ca0>
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(N)=O,3.42,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237d10>
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,3.7,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237df0>
COc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,3.1,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237ed0>
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(N)=O,3.44,<rdkit.Chem.rdchem.Mol object at 0x7f06b4237f40>
Nc1nc(NCc2ccccc2)nc2c1nc(O)n2Cc1ccccc1,3.69,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238040>
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,2.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b42380b0>
O=C(O)COc1ccc(Cl)cc1C1CCCCC1,0.93,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238120>
Nc1c(C(=O)NC2CC2)nnc2c(-c3ncccn3)cccc12,1.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238200>
O=C(CSc1ccncc1)Nc1ccc(C(=O)c2ccccc2)cc1,3.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b42382e0>
CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.44,<rdkit.Chem.rdchem.Mol object at 0x7f06b42383c0>
O=c1[nH]nc(Cc2ccccc2)c2ccccc12,2.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238430>
O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1ncc(-c2ccccc2)s1,3.95,<rdkit.Chem.rdchem.Mol object at 0x7f06b42384a0>
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,1.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238510>
Oc1nc(-c2ccccc2)c(-c2ccccc2)o1,3.42,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238580>
O=c1c2sccc2n(CC2COc3ccccc3O2)c(=O)n1O,1.44,<rdkit.Chem.rdchem.Mol object at 0x7f06b42385f0>
COC[C@H](C)Oc1cc(Oc2cc(F)cc(F)c2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,1.36,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238660>
COC[C@H](C)Oc1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,-0.41,<rdkit.Chem.rdchem.Mol object at 0x7f06b42386d0>
COC[C@H](C)Oc1cc(Oc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,0.95,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238740>
COC[C@H](C)Oc1cc(Oc2ccc(Cl)cc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,1.69,<rdkit.Chem.rdchem.Mol object at 0x7f06b42387b0>
N#Cc1ccc(Nc2nccc(NC3CC3)n2)cc1,3.01,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238820>
Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccncc2)cc1,0.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238890>
Cc1cc(Oc2ccnc(Nc3cccc(N4CCOCC4)c3)c2)c(-c2ccccn2)nc1C,3.27,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238900>
O=C(COCc1ccccn1)N1CCN(c2ccc(Cl)cc2Cl)CC1,3.47,<rdkit.Chem.rdchem.Mol object at 0x7f06b42389e0>
CC(C)CNc1nc(C#N)nc(NC2CCS(=O)(=O)C2)c1N,2.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238a50>
FC(F)(F)c1nnc2ccc(NCn3nnc4ccccc43)nn12,2.34,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238ac0>
COc1cc(F)ccc1-c1cncc(CNC(=O)c2ccccc2)c1,3.76,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238b30>
COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCCCN1CCCC1,1.62,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238ba0>
Cn1c(=O)n(Cc2ccc(Br)cc2)c2ccccc21,2.81,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238c80>
COc1cc(Nc2ncnc(Nc3c(Cl)ccc4c3OCO4)n2)cc(OC)c1OC,3.01,<rdkit.Chem.rdchem.Mol object at 0x7f06b4238cf0>
