smiles,pKb,pKaBasic_train_test,scaffold
CCS(=O)(=O)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,1.93,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505540>
CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1.93,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95055b0>
COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4ccccc4s3)cc2)c1O,1.93,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505620>
O=C(NC1CC1)c1cn(-c2cccc(C#Cc3ccc[n+]([O-])c3)c2)c2ncccc2c1=O,1.94,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505770>
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,1.95,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95057e0>
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1.95,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505850>
CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1.95,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505930>
COC(=O)c1cnc2cc(OC(C)C)c(OC(C)C)cc2c1O,1.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505a10>
O=[N+]([O-])c1cnc(-c2ccc(F)cc2)n1CCO,1.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505a80>
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,1.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505af0>
Cc1cc(F)ccc1-c1nc(NC(CO)CO)nc2c1ccc(=O)n2-c1c(F)cccc1F,1.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505b60>
Cc1nnn(C)c1-c1cnc2c3ccc(C(C)(C)O)cc3n([C@H](c3ccccc3)C3CCOCC3)c2c1,1.96,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505bd0>
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)nc(C)c1Br,1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505cb0>
CCOC(=O)c1cnc2cc(OCC(C)C)c(OCC(C)C)cc2c1O,1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505d20>
CCCCCCCCCCOc1cc2c(O)c(C(=O)OCC)cnc2cc1OCC,1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505d90>
CCOC(=O)c1cnc2cc(OCC3CC3)c(OCC3CC3)cc2c1O,1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505e70>
CNC(=O)c1cccc(-c2ccc3c(N4C5CCC4COC5)nc(N4CCOC[C@@H]4C)nc3n2)c1,1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505ee0>
C=CC(=O)N1C[C@H](C)N(c2nc(=O)n(-c3c(C4CC4)ncnc3C3CC3)c3nc(-c4c(N)cccc4F)c(F)cc23)C[C@H]1C,1.97,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505f50>
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,1.98,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9505fc0>
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,1.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506030>
CCc1ccc(I)c(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,1.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95060a0>
CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2s1,1.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506110>
C=CCn1c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,1.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506180>
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,1.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95061f0>
O=C(O)CN(CC(=O)O)CC(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1,1.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506260>
Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1,1.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95063b0>
O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,1.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506420>
CC(C)(O)c1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,1.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506490>
O=C(Nc1ccnc(C(F)(F)F)c1)c1cnn(-c2cccc3c(=O)[nH]ccc23)c1C(F)(F)F,1.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506500>
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,2.0,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506570>
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,2.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95065e0>
Cc1ccnc([N-]S(=O)(=O)c2ccc(N)cc2)n1,2.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95067a0>
Clc1ccc([C@]2(Cn3cncn3)O[C@H]2c2ccc(Cl)cc2Cl)cc1,2.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506810>
CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1,2.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95068f0>
COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,2.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506960>
Cc1c(-c2ccnn2C)cc(C(=O)NCc2ccc(S(C)(=O)=O)cn2)c(=O)n1-c1cccc(C(F)(F)F)c1,2.0,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95069d0>
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2.01,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506a40>
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,2.01,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506ab0>
O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506b20>
Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)O)cc2)cc1,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506b90>
Nc1ccc(S(=O)(=O)c2ccc(NC(=O)CCC(=O)O)cc2)cc1,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506c00>
Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506d50>
N#Cc1c(N)nc(SCc2csc(-c3ccc(Cl)cc3)n2)c(C#N)c1-c1ccc(OCCO)cc1,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506dc0>
CNc1cc2[nH]c(=O)n(-c3ccc(NC(=O)NS(=O)(=O)c4ccc(Cl)s4)cc3)c(=O)c2cc1F,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506e30>
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506ea0>
Cc1c2c(nn1C)CSCc1cc(n(C)n1)CSc1cc(c3ccccc3c1)OCCCc1c(C(=O)O)n(C)c3c-2c(Cl)ccc13,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506f80>
CCOCc1[nH]c(=O)c(-c2nnc(Cc3ccc(Cl)cn3)o2)c(O)c1-c1c(OC)cccc1OC,2.01,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9506ff0>
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,2.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507060>
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,2.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95070d0>
Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1C,2.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507140>
Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,2.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95071b0>
CCC(CC)Nc1c2c(nc3c(-c4ccc(OC)cc4Cl)c(C)nn13)CCC2,2.02,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507290>
C[C@]12C=CC(=O)C(N)=C1C=C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507300>
NC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507370>
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]1F,2.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95073e0>
N#Cc1cc(Cl)cc(Oc2c(Cl)ccc3c2cnn3Cc2n[nH]c3ncccc23)c1,2.03,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507450>
O=C(O)CN1CSC(=S)N(Cc2ccccc2)C1,2.04,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95074c0>
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2.04,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507530>
CCOP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OCC,2.04,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95075a0>
Nc1ccc(S(=O)(=O)[N-]c2nccs2)cc1,2.04,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507680>
CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,2.05,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507760>
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,2.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507920>
O=C(O)CNC(=O)c1ncc(-c2cccc(Cl)c2)cc1O,2.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507990>
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)O[C@@H]1N2C,2.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507a00>
Cc1cccc(C)c1NC(=O)c1cccnc1O,2.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507a70>
CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)O[C@@H]1N2C,2.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507ae0>
CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)O[C@@H]1N2C,2.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507b50>
C[C@H]1[C@H](N2CCS(=O)(=O)CC2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,2.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507bc0>
O=C(O)CCCCCCCOc1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,2.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507c30>
CC(C)Oc1ccc(C(=O)NS(=O)(=O)c2ccc(N)cc2)cc1,2.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507ca0>
CC1(C)CCC(C)(C)c2cc(Cn3cccn3)c(/C=C/c3ccc(C(=O)O)cc3)cc21,2.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507d10>
O=C(O)c1c(O)c(Cc2ccc(Cl)cc2)nc2c3c(ccc12)CCCC3,2.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507d80>
C[C@@H](O[C@H]1CC[C@@H]2CN(C3=CC(=O)CC3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.07,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507df0>
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1,2.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507e60>
O=C(O)c1ccccc1NCCc1ccccc1,2.08,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9507ed0>
Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)[O-])cc3)cnc2[nH]1,2.09,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508040>
Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,2.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95080b0>
Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,2.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508120>
COc1ccc(-c2nnc(C)nc2-c2ccc(OC)cc2)cc1,2.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508190>
Cc1ccc(S(=O)(=O)CCN2C(=O)CN=C(c3ccccc3Cl)c3cc(Cl)ccc32)cc1,2.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508200>
CCc1nnc(/C(C)=C/c2ncc([N+](=O)[O-])n2C)s1,2.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508270>
Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,2.09,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95082e0>
NC(=O)NS(=O)(=O)c1ccc(N)cc1,2.1,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508350>
CC[N+](C)(CC)CCSC1=Nc2ccccc2N=C(c2ccc(Sc3ccccc3)cc2)C1,2.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95083c0>
CC(C)=CC(=O)NS(=O)(=O)c1ccc(N)cc1,2.11,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508430>
COc1cc(OCc2csc(-c3ccc(C(=O)N(C)C)cc3)n2)c2cc(-c3cn4nc(OC)sc4n3)oc2c1,2.11,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508510>
CCCCc1nc(C)n(Cc2sccc2C(=O)OC)c(=O)c1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,2.12,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508660>
NC(=O)CC[C@@H](C(=O)O)N(CCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)c1ccc(NCc2cnc3nc(N)[nH]c(=O)c3n2)cc1,2.12,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95086d0>
Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,2.13,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508740>
Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,2.13,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95087b0>
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,2.13,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508820>
CC(C)c1cc2[nH]c(=O)n(NS(C)(=O)=O)c(=O)c2cc1-c1ccnn1C,2.13,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508890>
CC(=O)NS(=O)(=O)c1ccc(N)cc1,2.14,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508900>
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.14,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508970>
Nc1nc2cc(Cl)ccc2o1,2.14,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95089e0>
CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1,2.14,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508a50>
C/C(=N\O)c1ccc(OCC(=O)N2CCOCC2)cc1,2.14,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508ac0>
C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,2.14,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508b30>
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,2.14,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508ba0>
CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1,2.14,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508c10>
Cc1nccnc1N1CCCCC1,2.15,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508c80>
CCOCCc1c(-c2ccccc2)nc(N)n2ncnc12,2.15,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508cf0>
CCCCCCCCCCCCCCCCCC(=O)NS(=O)(=O)c1ccc(N)cc1,2.15,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508dd0>
Cc1nc(C#Cc2ccc(-c3cc(F)cc(C#N)c3)nc2)cs1,2.15,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508e40>
Cn1nccc1-c1ccc(Sc2cccc(C3(C(N)=O)CCOCC3)c2)cc1,2.15,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508eb0>
C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,2.16,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9508f90>
COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,2.16,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509000>
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,2.17,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509070>
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,2.17,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95090e0>
CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc2oc(-c3ccccc3-c3nnn[nH]3)c(Br)c2c1,2.17,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95091c0>
CC[C@H](NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,2.18,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95092a0>
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,2.18,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509310>
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1.O=S(=O)(O)c1ccccc1,2.18,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509380>
C[C@@H]1CNS(=O)(=O)N(c2ccc3c(C#N)nccc3c2)C1,2.18,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95093f0>
Nc1n[n+]([O-])c2ccccc2[n+]1[O-],2.18,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509460>
Nc1ccc(C(=O)O)c(O)c1,2.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95094d0>
CCCCc1nc(Cl)c(C(=O)OC(C)OC(=O)OCC)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,2.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509540>
Nc1c(C(=O)c2cccc(OC[C@@H](O)CO)c2)cnn1-c1ccc(F)cc1,2.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509620>
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C,2.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509690>
CCc1nn(CCO)c(CC)c1Oc1cc(C#N)cc(C#N)c1,2.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509700>
Cc1cnc(C(=O)c2ncnc3[nH]ccc23)c(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c1,2.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509770>
COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,2.19,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509850>
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,2.2,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95098c0>
CS(=O)(=O)c1ccc(-n2cc(Cl)c(OC3CCN(c4ncc(Cl)cn4)CC3)cc2=O)c(F)c1,2.2,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509930>
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1N,2.21,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd95099a0>
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,2.22,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509a80>
CSc1ncc(OCC#CI)cn1,2.23,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509af0>
CCNC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@H]2O[C@H](/C=C/c3ccccc3)O[C@H]21,2.23,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509b60>
CCNC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@H]2O[C@H](/C=C/c3ccccc3)O[C@H]21,2.23,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509cb0>
CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,2.23,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509d20>
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,2.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509d90>
C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,2.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509e70>
Cn1c(=O)c(C(=O)NCCO)c(O)c2ncc(Cc3ccc(F)cc3)cc21,2.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509f50>
C[C@H](NC(=O)CCC(F)(F)F)C(=O)N[C@@H]1C(=O)N(CCO)c2ncccc2-c2ccccc21,2.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd9509fc0>
CC(=O)c1nn(CC(=O)N2[C@H](C(=O)Nc3nc(Br)ccc3C)C[C@@]3(C)C[C@@H]23)c2ccc(-c3cnc(C)nc3)cc12,2.24,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a030>
NC(=S)NS(=O)(=O)c1ccc(N)cc1,2.25,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a0a0>
Nc1ccc(S(=O)(=O)c2cnc(N)s2)cc1,2.26,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a110>
NC(=N/Cl)/N=N/C(N)=N\Cl,2.26,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a180>
CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ncc(OCCCC(=O)O)cn2)C[C@H]1CC,2.26,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a1f0>
C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,2.26,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a260>
Nc1ccc(S(N)(=O)=O)cc1,2.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a2d0>
Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,2.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a340>
CC(C(=O)O)c1ccc(C2CCCC(=NO)C2)cc1,2.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a3b0>
O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,2.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a420>
O=C(c1c(F)ccc(NS(=O)(=O)N2CC[C@@H](F)C2)c1F)c1c[nH]c2ncc(-c3cnc(C4CC4)nc3)cc12,2.28,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a490>
CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1,2.28,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a500>
Cc1onc(-c2ccc(F)cc2)c1COc1ccc(C(=O)N2CCS(=O)(=O)CC2)cn1,2.28,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a570>
Cc1nnc(-c2c[nH]c(=O)[nH]c2=O)cc1[C@H]1C[C@@H]1C(C)C,2.28,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a5e0>
Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,2.29,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a650>
Cc1ccc(C(=O)NNC(=O)c2c(C)cccc2Cl)cc1C#Cc1cnc2ccccc2c1,2.29,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a730>
O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2cscc12,2.29,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a7a0>
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,2.3,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a810>
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,2.3,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a880>
O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12,2.31,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a8f0>
Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,2.31,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd950a9d0>
